Years in the past from 1950,Ice Volume,Temperature Anomaly,CO2 for Ice,Temperature for Ice
526256.0,23.1,1.293,256.0430608603061,217.2
526246.0,23.1,1.286,255.89086904448925,216.8
526236.0,23.1,1.277,258.7419682040664,217.7
526226.0,23.1,1.268,258.24947010276907,218.1
526216.0,23.1,1.258,258.53058047537485,216.1
526206.0,23.1,1.247,257.16871076552565,218.4
526196.0,23.1,1.256,254.31017470730887,216.7
526186.0,23.1,1.245,253.6295799831633,217.1
526176.0,23.1,1.233,251.56174454316204,216.9
526166.0,23.1,1.239,255.89657531323917,217.7
526156.0,23.1,1.227,258.57498699245264,217.0
526146.0,23.1,1.213,248.91570205793047,216.4
526136.0,23.1,1.219,253.9931437879996,217.9
526126.0,23.1,1.205,255.3912977602452,217.4
526116.0,23.1,1.19,247.85064164274337,216.3
526106.0,23.1,1.175,248.40713321971356,216.1
526096.0,23.1,1.18,253.09803694796494,217.3
526086.0,23.1,1.164,251.03138662276533,216.3
526076.0,23.1,1.149,255.6570401748525,216.9
526066.0,23.1,1.133,253.01913649818056,217.2
526056.0,23.1,1.116,251.13879991205624,218.4
526046.0,23.1,1.119,251.42428040746907,217.5
526036.0,23.1,1.102,250.96816256782247,215.9
526026.0,23.1,1.085,249.6533400802813,216.3
526016.0,23.1,1.067,249.23182055441774,218.5
526006.0,23.1,1.049,248.95174624217293,217.2
525996.0,23.1,1.031,249.37721064234103,216.4
525986.0,23.1,1.011,248.9240190698803,216.9
525976.0,23.1,0.992,250.73154369365116,215.4
525966.0,23.1,0.972,246.9665079337188,217.4
525956.0,23.1,0.952,244.30941964788178,216.2
525946.0,23.1,0.931,243.00399847303908,215.7
525936.0,23.1,0.911,246.4034368607132,218.3
525926.0,23.1,0.889,247.67023851530323,217.9
525916.0,23.1,0.85,245.828192028346,217.4
525906.0,23.1,0.83,246.17917534767042,216.2
525896.0,23.1,0.81,244.42282246806465,216.4
525886.0,23.1,0.79,246.7361603977909,216.5
525876.0,23.1,0.77,249.9226267174943,216.6
525866.0,23.2,0.73,244.27496932125192,217.1
525856.0,23.2,0.71,247.01866418752644,218.4
525846.0,23.2,0.69,248.09151906637942,217.4
525836.0,23.2,0.67,246.94327763185444,218.7
525826.0,23.2,0.63,243.94829999483662,217.0
525816.0,23.2,0.609,242.52904430354567,216.9
525806.0,23.2,0.59,244.24252191664183,216.5
525796.0,23.2,0.551,241.5919394471499,217.2
525786.0,23.2,0.532,247.29878007926465,217.4
525776.0,23.2,0.513,240.01944039217156,216.3
525766.0,23.2,0.474,241.49602014897292,216.7
525756.0,23.2,0.456,242.23335017876875,217.0
525746.0,23.2,0.418,242.14661205332536,216.6
525736.0,23.2,0.401,239.34501708789696,216.5
525726.0,23.3,0.364,241.2383063619222,217.3
525716.0,23.3,0.348,239.43542944264073,215.8
525706.0,23.3,0.313,238.7942418996904,214.7
525696.0,23.3,0.297,238.17670710529902,216.4
525686.0,23.3,0.261,240.7072616624785,216.8
525676.0,23.3,0.225,237.14801820813656,215.9
525666.0,23.3,0.209,239.41877622767902,216.1
525656.0,23.3,0.174,234.67711437690164,216.3
525646.0,23.3,0.16,238.86480110696388,217.3
525636.0,23.4,0.145,237.90902544878452,218.6
525626.0,23.4,0.109,241.5552999030114,216.9
525616.0,23.4,0.094,234.8172845805215,215.6
525606.0,23.4,0.079,236.91006470650157,216.7
525596.0,23.4,0.066,239.4098936541896,215.9
525586.0,23.4,0.032,240.4197733780046,216.0
525576.0,23.4,0.018,236.86022090165332,217.5
525566.0,23.4,0.006,237.82629259075324,216.2
525556.0,23.4,-0.008,240.25427358439862,215.9
525546.0,23.4,-0.022,235.8255291423037,216.8
525536.0,23.4,-0.034,243.85979844716996,217.7
525526.0,23.4,-0.048,238.54747522687632,216.8
525516.0,23.4,-0.059,241.59139134507328,218.4
525506.0,23.5,-0.052,241.11490412197253,217.0
525496.0,23.5,-0.063,239.08435072354874,218.6
525486.0,23.5,-0.076,237.95158516671214,216.6
525476.0,23.5,-0.088,240.5703386445421,216.0
525466.0,23.5,-0.078,235.91958262522573,216.9
525456.0,23.5,-0.091,237.8687866200197,217.3
525446.0,23.5,-0.081,241.26916500368534,218.2
525436.0,23.5,-0.093,232.88000615516702,215.9
525426.0,23.5,-0.084,236.39805979670948,216.6
525416.0,23.5,-0.096,239.23818680138615,218.5
525406.0,23.5,-0.087,239.36064776017062,218.2
525396.0,23.5,-0.098,238.3613364190683,215.7
525386.0,23.5,-0.091,236.59503531115416,216.7
525376.0,23.5,-0.082,240.21229536304708,216.3
525366.0,23.5,-0.074,239.03677680876376,216.3
525356.0,23.5,-0.086,235.8013722168602,217.4
525346.0,23.5,-0.08,242.07891889663432,218.0
525336.0,23.5,-0.073,238.39005888170098,217.2
525326.0,23.5,-0.064,240.3252352260465,216.7
525316.0,23.5,-0.058,242.5463915992586,216.5
525306.0,23.5,-0.05,242.60460298931037,216.3
525296.0,23.5,-0.045,240.9489026098227,216.5
525286.0,23.5,-0.039,238.61345734214723,215.6
525276.0,23.5,-0.014,242.05538663336657,216.9
525266.0,23.5,-0.008,241.14411641924522,214.7
525256.0,23.5,-0.003,243.17377294839466,216.6
525246.0,23.5,0.002,235.8323421305916,217.1
525236.0,23.5,0.027,241.729807649943,216.4
525226.0,23.5,0.031,239.85999766133673,215.7
525216.0,23.5,0.035,239.76503812675872,215.2
525206.0,23.5,0.058,237.9659544143376,215.5
525196.0,23.5,0.062,235.30951417343593,216.5
525186.0,23.5,0.087,237.58632963935628,216.1
525176.0,23.5,0.11,237.97072384125397,217.0
525166.0,23.5,0.113,240.10202126482596,216.4
525156.0,23.5,0.136,238.11592408247537,216.3
525146.0,23.5,0.16,234.62208303328032,216.5
525136.0,23.5,0.163,233.41678590018034,216.5
525126.0,23.5,0.186,234.33541847308942,215.4
525116.0,23.5,0.21,237.49243901935716,216.1
525106.0,23.5,0.232,228.9069484734525,215.9
525096.0,23.5,0.234,228.1794674192821,216.4
525086.0,23.5,0.257,230.5296191365043,217.0
525076.0,23.5,0.28,234.53668908061695,217.1
525066.0,23.5,0.301,231.47501430697426,216.9
525056.0,23.5,0.323,227.9025821178081,215.0
525046.0,23.5,0.344,224.64412988292017,217.1
525036.0,23.5,0.367,227.39272967198517,218.2
525026.0,23.5,0.387,227.78536212593403,217.0
525016.0,23.5,0.409,228.50250206425628,216.3
525006.0,23.5,0.431,227.5760816830967,217.8
524996.0,23.5,0.451,226.50690563613685,216.6
524986.0,23.5,0.473,228.4041873231957,216.7
524976.0,23.5,0.493,227.87363187172843,217.1
524966.0,23.5,0.514,233.1674385645637,216.2
524956.0,23.5,0.535,232.22123314488178,216.3
524946.0,23.5,0.555,227.85150672131329,217.0
524936.0,23.5,0.595,230.6301423785333,216.5
524926.0,23.5,0.616,228.71528957073212,217.4
524916.0,23.5,0.636,228.35879507223092,215.8
524906.0,23.5,0.654,228.46979297537328,216.2
524896.0,23.5,0.694,228.890295544307,216.9
524886.0,23.5,0.713,229.78672581367329,217.6
524876.0,23.5,0.734,227.65098593922204,216.9
524866.0,23.5,0.772,228.3650655244248,217.0
524856.0,23.5,0.792,225.38083520649624,217.0
524846.0,23.5,0.811,228.99480745157686,216.7
524836.0,23.5,0.85,234.47446894840783,217.9
524826.0,23.5,0.869,229.67160656998294,217.7
524816.0,23.5,0.907,228.8057322422929,216.3
524806.0,23.5,0.928,227.84358475209112,217.2
524796.0,23.5,0.966,230.18339813242306,216.9
524786.0,23.5,0.985,228.26585961041698,217.2
524776.0,23.5,1.023,225.77162913978188,216.7
524766.0,23.5,1.042,227.64306095288393,217.4
524756.0,23.5,1.081,228.91652002838566,217.4
524746.0,23.5,1.12,225.38795165189697,215.3
524736.0,23.5,1.139,224.74311624898786,215.9
524726.0,23.5,1.179,223.2710402890986,217.8
524716.0,23.5,1.217,223.5305343345643,216.4
524706.0,23.5,1.235,222.75834505097234,218.0
524696.0,23.5,1.274,222.15764340429956,218.4
524686.0,23.5,1.312,224.8571801594681,217.3
524676.0,23.5,1.351,222.36468715588023,216.9
524666.0,23.5,1.389,223.5107392974745,216.3
524656.0,23.5,1.407,223.7681909549173,217.8
524646.0,23.5,1.446,223.7224506956352,217.6
524636.0,23.5,1.484,224.4079901815647,217.4
524626.0,23.5,1.502,222.39327867419098,217.3
524616.0,23.5,1.539,224.4802221411913,217.7
524606.0,23.5,1.577,224.242360124708,217.5
524596.0,23.5,1.595,222.4115117516632,218.1
524586.0,23.5,1.632,224.8625784974834,218.2
524576.0,23.5,1.67,226.1908800011438,218.4
524566.0,23.5,1.687,221.48984625503218,217.4
524556.0,23.5,1.724,227.3244742360862,215.9
524546.0,23.5,1.761,223.23631531576837,217.6
524536.0,23.5,1.777,220.48517092637948,216.8
524526.0,23.4,1.814,218.56382460975144,217.9
524516.0,23.4,1.83,214.22122886828478,217.1
524506.0,23.4,1.865,212.84367513227136,218.7
524496.0,23.4,1.881,214.5978424508933,217.8
524486.0,23.4,1.916,212.42970768970437,216.7
524476.0,23.4,1.932,214.83094793202406,217.8
524466.0,23.4,1.966,211.2133503062316,217.5
524456.0,23.4,1.978,209.50810411665645,219.0
524446.0,23.4,1.992,212.94888538922996,217.9
524436.0,23.4,2.025,211.7934498012063,217.9
524426.0,23.4,2.039,217.18722610003746,218.4
524416.0,23.4,2.073,213.9380167825644,217.8
524406.0,23.4,2.087,207.94707338537606,219.3
524396.0,23.3,2.099,208.65010901966778,218.5
524386.0,23.3,2.132,208.4614276166706,215.5
524376.0,23.3,2.142,213.15469236971649,217.8
524366.0,23.3,2.154,210.24939480334604,217.7
524356.0,23.3,2.187,205.52548876941438,216.4
524346.0,23.3,2.198,205.18509194320177,218.6
524336.0,23.3,2.211,202.9290476816134,217.3
524326.0,23.3,2.223,204.3247383426767,218.1
524316.0,23.3,2.254,202.1012164231453,217.3
524306.0,23.3,2.267,198.631089252931,217.0
